"Add Account","Agregar cuenta"
"You can specify how M2E TikTok Shop Connect should notify you about Health Status of your M2E TikTok Shop Connect by selecting: <ul><li><b>Do Not Notify</b> - no notification required;</li><li><b>On each Extension Page (default)</b> - notification will be shown on each page of M2E TikTok Shop Connect Module;</li><li><b>On each Magento Page</b> - notification will be shown on each page of Magento;</li><li><b>As Magento System Notification</b> - notification will be shown via Magento global messages system;</li><li><b>Send me an eMail</b> - notification will be sent you to the provided email.</li></ul>Also, you can select a minimal Notifications Level: <ul><li><b>Critical/Error (default)</b> - notification will arise only for critical issue and error;</li><li><b>Warning</b> - notification will arise once the error or warning occur;</li><li><b>Notice</b> - notification will arise in case the error, warning or notice occur.</li></ul>","Puedes especificar cómo M2E TikTok Shop Connect debería notificarte sobre el Estado de Salud de tu M2E TikTok Shop Connect seleccionando:
<ul><li><b>No Notificar</b> - no se requiere notificación;</li> <li><b>En cada Página de la Extensión (por defecto)</b> - la notificación se mostrará en cada página del Módulo M2E TikTok Shop Connect;</li> <li><b>En cada Página de Magento</b> - la notificación se mostrará en cada página de Magento;</li> <li><b>Como Notificación del Sistema Magento</b> - la notificación se mostrará a través del sistema de mensajes global de Magento;</li><li><b>Envíame un correo electrónico</b> - la notificación se enviará al correo electrónico proporcionado.</li> </ul> Además, puedes seleccionar un Nivel Mínimo de Notificaciones: <ul> <li><b>Crítico/Error (por defecto)</b> - la notificación aparecerá solo para problemas críticos y errores;</li> <li><b>Advertencia</b> - la notificación aparecerá cuando ocurra un error o advertencia;</li><li><b>Aviso</b> - la notificación aparecerá en caso de error, advertencia o aviso.</li></ul>"
"Notify Me","Notificarme"
"Do Not Notify","No Notificar"
"On each Extension Page","En cada página de extensión"
"On each Magento Page","En cada página de Magento"
"As Magento System Notification","Como notificación del sistema Magento"
"Send me an Email","Enviarme un Email"
"Email","Email"
"Notification Level","Nivel de notificación"
"Critical / Error","Crítico / Error"
"Notice","Aviso"
"Switching the store view may initiate an update of products on the channel!","Cambiar la vista de la tienda puede iniciar una actualización de los productos en el canal!"
"When you switch a store view for a listing, an automatic update of product parameters may be triggered. If product values in the new Store View are different from the current ones (e.g. Price, Description), these changes will be synchronized to the channel based on the rules set in the Synchronization policy.","Cuando se cambia una vista de tienda para un listado, se puede activar una actualización automática de los parámetros del producto. Si los valores del producto en la nueva vista de tienda son diferentes de los actuales (por Ejemplo, Precio, Descripción), estos cambios se sincronizarán con el canal basándose en las reglas establecidas en la Política de sincronización."
"Clear Log(s)","Limpiar Log(s)"
"Delete Listing(s)","Eliminar Lista(s)"
"Title / Info","Título / Información"
"Total Items","Artículos totales"
"Active Items","Objetos activos"
"Inactive Items","Objetos no activos"
"Products","Productos"
"Edit Settings","Editar ajustes"
"Other","Otros"
"Product ID","Artikel ID"
"Product Title / Product SKU","Título del producto / SKU del producto"
"Stock Availability","Disponibilidad de inventario"
"In Stock","En stock"
"Out of Stock","Fuera de stock"
"SKU","SKU"
"Link To This Product","Enlace a este producto"
"From the list below you should select a Magento Product to which you would like the Item to be linked. Click on Link To This Product link to set accordance.","En la siguiente lista, seleccione el producto Magento al que desea vincular el artículo. Haga clic en Vincular a este producto para establecer el acuerdo."
"Move To This Listing","Mover a este listado"
"Item(s) can be moved to a Listing within the same TikTok Shop Account and Shop.<br> You can select an existing M2E TikTok Shop Connect Listing or create a new one.<br><br><strong>Note:</strong> Once the Items are moved, they will be updated based on the new Listing settings.","El/los artículo(s) pueden ser movidos a un Listado dentro de la misma Cuenta y Tienda de TikTok Shop.<br> Puedes seleccionar un Listado existente de M2E TikTok Shop Connect o crear uno nuevo.<br><br><strong>Nota:</strong> Una vez que los artículos se muevan, se actualizarán según las configuraciones del nuevo Listado."
"Item(s) can be moved to a Listing within the same TikTok Shop Account and Shop.<br>You can select an existing M2E TikTok Shop Connect Listing or create a new one.<br><br><strong>Note:</strong> Once the Items are moved, they will be updated based on the new Listing settings.","El/los artículo(s) pueden ser movidos a un Listado dentro de la misma Cuenta y Tienda de TikTok Shop.<br>Puedes seleccionar un Listado existente de M2E TikTok Shop Connect o crear uno nuevo.<br><br><strong>Nota:</strong> Una vez que los artículos se muevan, se actualizarán según las configuraciones del nuevo Listado."
"Listing Type","Tipo de Listado"
"M2E TikTok Shop Connect","M2E TikTok Shop Connect"
"Unmanaged","No gestionado"
"Are you sure you want to create empty Listing?","¿Está seguro de que desea crear una lista vacía?"
"<p>There are several <strong>View Modes</strong> available to you:</p><ul><li><p><strong>TikTok Shop</strong> - displays Product details with respect to TikTok Shop Item information. Using this Mode, you can easily filter down the list of Products based on TikTok Shop Item details as well as perform Actions to TikTok Shop Items in bulk (i.e. List, Revise, Relist, Stop, etc);</p></li><li><p><strong>Settings</strong> - displays information about the Settings set for the Products (i.e. Selling Settings, TikTok Shop Categories, etc). Using this Mode, you can easily find Products by reference to the Settings they use as well as edit already defined Settings in bulk.</p></li><li><p><strong>Magento</strong> - displays Products information with regard to Magento Catalog. Using this Mode, you can easily find Products based on Magento Product information (i.e. Magento QTY, Stock Status, etc);</p></li></ul>","<p>Existen varios <strong>Modos de Vista</strong> disponibles para ti:</p>
<ul> <li><p><strong>TikTok Shop</strong> - muestra los detalles del Producto con respecto a la información del Artículo de TikTok Shop. Con este Modo, puedes filtrar fácilmente la lista de Productos basándote en los detalles del Artículo de TikTok Shop, así como realizar Acciones masivas sobre los Artículos de TikTok Shop (como Listar, Revisar, Relistar, Detener, etc.);</p></li> <li><p><strong>Configuración</strong> - muestra información sobre las Configuraciones establecidas para los Productos (como Configuraciones de Venta, Categorías de TikTok Shop, etc). Con este Modo, puedes encontrar fácilmente Productos por referencia a las Configuraciones que utilizan y editar Configuraciones ya definidas en masa.</p></li> <li><p><strong>Magento</strong> - muestra información de los Productos en relación con el Catálogo de Magento. Con este Modo, puedes encontrar fácilmente Productos basados en la información del Producto de Magento (como Cantidad en Magento, Estado de Inventario, etc.);</p></li></ul>"
"View Mode","Modo de visualización"
"TikTok Shop","TikTok Shop"
"Settings","Configuración"
"QTY","QTY"
"Category Settings","Ajustes de Categoría"
"Specifics","Específicos"
"Based on Magento Categories","Basado en categorías de Magento"
"You must select at least 1 Category.","Debe seleccionar al menos 1 Categoría."
"Rule with the same Title already exists.","Ya existe una regla con el mismo título."
"Listing Settings Customization","Personalización de los ajustes del listado"
"Remove","Eliminar"
"Magento Category","Categoría Magento"
"Action","Acción"
"The Quantity of chosen Products in each Category is shown in brackets.<br/>If the Product belongs to several Categories, it is shown in each Category. And if you remove the Category with such Product it will be subtracted from each Category.","La cantidad de productos seleccionados en cada categoría se muestra entre paréntesis.<br/>Si el producto pertenece a varias categorías, se mostrará en cada una de ellas. Y si eliminas la categoría que contiene dicho producto, se restará de cada categoría."
"of","de"
"Set Category (manually)","Establecer categoría (manualmente)"
"Product Title","Título del producto"
"TikTok Shop Category","Categoría TikTok Shop"
"Category Selected","Categoría seleccionada"
"Category Not Selected","Categoría no seleccionada"
"Edit Category","Editar la categoría"
"Reset Category","Restablecer categoría"
"Not Selected","No Seleccionado"
"You need to choose TikTok Shop Categories for Products in order to list them on TikTok Shop.","Usted necesita elegir las Categorías de la TikTok Shop para los Productos con el fin de listarlos en la TikTok Shop."
"Choose one of the Options below.","Elija una de las opciones a continuación."
"Products will be Listed using the same TikTok Shop Category.","Los productos serán listados usando la misma categoría de la TikTok Shop."
"Set TikTok Shop Categories for each Product (or a group of Products) manually.","Establezca manualmente las Categorías de la TikTok Shop para cada Producto (o grupo de Productos)."
"Categories","Categorías"
"Set Category","Configurar categoría"
"Select Products","Seleccionar productos"
"Remove Category","Quitar Categoría"
"Add New Rule","Añadir nueva regla"
"Add/Edit Categories Rule","Agregar/Editar Regla de Categorías"
"Start Configure","Iniciar Configuración"
"<h3>Do you want to set up a Rule by which Products will be automatically Added or Deleted from the current M2E TikTok Shop Connect Listing?</h3> Click <b>Start Configure</b> to create a Rule or <b>Cancel</b> if you do not want to do it now.<br/><br/><b>Note:</b> You can always return to it by clicking Auto Add/Remove Rules Button on this Page.","<h3>¿Deseas configurar una Regla mediante la cual los productos se añadirán o eliminarán automáticamente del listado actual de M2E TikTok Shop Connect?</h3> Haz clic en <b>Iniciar Configuración</b> para crear una Regla o en <b>Cancelar</b> si no deseas hacerlo ahora.<br/><br/><b>Nota:</b> Siempre puedes volver a esta opción haciendo clic en el botón de Reglas de Auto Añadir/Eliminar en esta página."
"Visibility","Visibilidad"
"Status","Estado"
"Websites","Sitios web"
"<p>After an M2E TikTok Shop Connect listing is configured and created, Magento Products should be added into it. <br> The Products you add to the Listing will further be Listed on TikTokShop.</p><br><p>There are several different options of how Magento products can be found/selected and added to the Listing.</p>","<p>Después de que se configure y cree un listado de M2E TikTok Shop Connect, se deben añadir los Productos de Magento a él.<br> Los Productos que agregues al Listado se listarán posteriormente en TikTok Shop.</p><br><p>Existen varias opciones diferentes sobre cómo se pueden encontrar/seleccionar y añadir los productos de Magento al Listado.</p>"
"Choose how you want to display Products for selection","Elija cómo desea mostrar los productos para la selección"
"Products displayed as a list without any grouping.","Productos mostrados como una lista sin ninguna agrupación."
"Products grouped by Magento Categories.","Productos agrupados por Categorías Magento."
"Add Products","Añadir productos"
"List Added Products Now","Listar productos añadidos ahora"
"go_to_the_listing","go_to_the_listing"
"Go To The Listing","Ir a la lista"
"Back to Unmanaged Items","Volver a artículos no administrados"
"All unsaved changes will be lost and you will be returned to the Listings grid.","Todos los cambios no guardados se perderán y volverá a la cuadrícula de listas."
"Unknown","Desconocido"
"Manual","Manual"
"Automatic","Automático"
"more","más"
"Description","Descripción"
"Last Action was completed.","La última acción se completó."
"Last Action was completed with error(s).","La última acción se completó con error(es)."
"Last Action was completed with warning(s).","La última acción se completó con advertencia(s)."
"Last Action was completed with info(s).","La última acción se completó con información(es)."
"Using a Grouped View Mode, the logs records which are not older than %date are displayed here in order to prevent any possible Performance-related issues.","Usando un modo de vista grupal, los registros de registros que no son anteriores a %date muestran aquí con el fin de evitar posibles problemas relacionados con el rendimiento."
"Only messages with a unique Product ID","Sólo mensajes con un ID de producto único"
"Listing","Anuncio"
"Magento Product","Producto de Magento"
"Message","Mensaje"
"Run Mode","Modo de ejecución"
"Separated","Separado"
"Grouped","Agrupados"
"Only messages with a unique Order ID","Sólo mensajes con un ID de pedido único"
"TikTok Shop Order #","TikTok Shop Pedido #"
"Magento Order #","Pedido Magento #"
"Please correct the column format and try again.","Por favor corregir el formato de columna y vuelva a intentarlo."
"Show Advanced Filter","Mostrar filtro avanzado"
"Advanced Filter","Filtro avanzado"
"Hide Advanced Filter","Ocultar filtro avanzado"
"Conditions","Condiciones"
"Attribute Set Name","Nombre del conjunto de atributos"
"Product Name","Nombre del producto"
"Apply","Aplicar"
"Magento Inventory (MSI) is enabled. M2E TikTok Shop Connect will update your product quantity based on Product Salable QTY. Read more <a target=""_blank"" href=""%url"">here</a>.","Magento Inventario (MSI) está habilitado. M2E TikTok Shop Connect actualizará la cantidad de su producto en base a la cantidad de productos comercializables. Leer más <a target=""_blank"" href=""%url"">aquí</a>."
"Please enter correct Product ID or SKU.","Por favor, introduzca el ID de producto o SKU correcto."
"Please enter correct Product ID.","Por favor, introduzca el ID de producto correcto."
"Edit Shipping Address","Modificar dirección de envío"
"As M2E TikTok Shop Connect was not able to find appropriate Product in Magento Catalog, you are supposed to find and map it manually.<br/><br/><b>Note:</b> Magento Order can be only created when all Products of Order are found in Magento Catalog.","Como M2E TikTok Shop Connect no fue capaz de encontrar el producto apropiado en el catálogo de Magento, se supone que debe encontrarlo y asignarlo manualmente.<br/><br/><b>Nota:</b> El pedido de Magento sólo se puede crear cuando todos los productos del pedido se encuentran en el catálogo de Magento."
"Custom Options","Opciones personalizadas"
"Bundle Items","Artículos en lote"
"Associated Products","Artículos asociados"
"As M2E TikTok Shop Connect was not able to find appropriate Option in Magento Product you are supposed find and Link it manualy.<br/>If you want to use the same Settings for the similar subsequent Orders, select appropriate check-box at the bottom. <br/><br/><b>Note:</b> Magento Order can be only created when all Products of Order are found in Magento Catalog.","Como M2E TikTok Shop Connect no pudo encontrar la Opción apropiada en el Producto de Magento, debes buscar y vincularla manualmente.<br/>Si deseas usar la misma configuración para los pedidos similares posteriores, selecciona la casilla correspondiente al final.<br/><br/><b>Nota:</b> Un Pedido de Magento solo puede ser creado cuando todos los Productos del Pedido se encuentran en el Catálogo de Magento."
"Selected Product Option is Out of Stock.","La opción de producto seleccionada está agotada."
"Create Date","Crear Fecha"
"Edit","Editar"
"From Date","De Fecha"
"To Date","Hasta la fecha"
"Reimport","Reimportar"
"(in progress)","(en curso)"
"M2E TikTok Shop Connect provides an automatic order synchronization as basic functionality.
Use manual order import as an alternative only in <a href=""%url"" target=""_blank"">these cases</a>.","M2E TikTok Shop Connect proporciona una sincronización automática de pedidos como funcionalidad básica.
Utiliza la importación manual de pedidos como alternativa solo en <a href=""%url"" target=""_blank"">estos casos</a>."
"Order Reimport","Reimportar pedido"
"Main","Principal"
"Settings saved","Ajustes guardados"
"Product","Producto"
"Selected Magento Attribute is invalid. Please ensure that the Attribute exists in your Magento, has a relevant Input Type and it is included in all Attribute Sets. Otherwise, select a different Attribute from the drop-down.","El atributo de Magento seleccionado no es válido. Asegúrese de que el atributo existe en su Magento, tiene un tipo de entrada relevante y está incluido en todos los conjuntos de atributos. De lo contrario, seleccione un atributo diferente en el menú desplegable."
"EAN / UPC","EAN / UPC"
"Not Set","No Fijado"
"Magento Attributes","Atributos de Magento"
"TikTok Shop uses EAN/UPC to associate your Item with its catalog. Select Attribute where the Product ID values are stored.","TikTok Tienda utiliza EAN/UPC para asociar su artículo con su catálogo. Seleccione Atributo donde se almacenan los valores de ID del producto."
"Package","Paquete"
"Enter a numeric value greater than zero","Introduzca un valor numérico mayor que cero"
"The package weight must be a positive number","El peso del paquete debe ser un número positivo"
"The package length needs to be a whole number that's not negative","La longitud del paquete debe ser un número entero que no sea negativo"
"The package width needs to be a whole number that's not negative","La anchura del paquete debe ser un número entero no negativo"
"The package height needs to be a whole number that's not negative","La altura del paquete debe ser un número entero que no sea negativo"
"Custom Value","Valor personalizado"
"Enter value here","Ingresar el valor aquí"
"Weight","Peso"
"Length","Longitud"
"Width","Anchura"
"Height","Altura"
"The package weight must be a positive number. ( kg (UK), lb (US))","El peso del paquete debe ser un número positivo. ( kg (UK), lb (US))"
"The package length needs to be a whole number that's not negative. Possible Units: US: CENTIMETER, INCH, Other  regions: CENTIMETER","La longitud del paquete debe ser un número entero que no sea negativo. Unidades posibles: EE. UU.: CENTÍMETRO, PULGADA, Otras regiones: CENTÍMETRO"
"The package width needs to be a whole number that's not negative. Possible Units: US: CENTIMETER, INCH, Other regions: CENTIMETER","El ancho del paquete debe ser un número entero que no sea negativo. Unidades posibles: EE. UU.: CENTÍMETRO, PULGADA, Otras regiones: CENTÍMETRO"
"The package height needs to be a whole number that's not negative. Possible Units: US: CENTIMETER, INCH, Other regions: CENTIMETER","La altura del paquete debe ser un número entero que no sea negativo. Unidades posibles: EE. UU.: CENTÍMETRO, PULGADA; Otras regiones: CENTÍMETRO"
"Shop","Tienda"
"Default Config","Configuración por Defecto"
"<p>Have any questions regarding the use of M2E TikTok Shop Connect, its functionality, technical aspects, or billing? You can always find answers in our <a href=""%1"" target=""_blank"" class=""external-link"">documentation</a> or <a href=""%2"" target=""_blank"" class=""external-link"">Knowledge Base</a> created specifically for M2E TikTok Shop Connect clients. There is also a <a href=""%3"" target=""_blank"" class=""external-link"">YouTube channel</a> with helpful video guides.</p> <p>In case you cannot find a solution to your problem within the available resources, feel free to reach out to M2E TikTok Shop Connect Support Team by clicking Contact Us. If your subscription plan does not include a ticket system, you will receive an email with the plan's terms in response to your request.</p>","<p>¿Tienes alguna pregunta sobre el uso de M2E TikTok Shop Connect, su funcionalidad, aspectos técnicos o facturación? Siempre puedes encontrar respuestas en nuestra <a href=""%1"" target=""_blank"" class=""external-link"">documentación</a> o en la <a href=""%2"" target=""_blank"" class=""external-link"">Base de Conocimiento</a> creada específicamente para los clientes de M2E TikTok Shop Connect. También hay un <a href=""%3"" target=""_blank"" class=""external-link"">canal de YouTube</a> con guías en video útiles.</p> <p>En caso de que no encuentres una solución a tu problema dentro de los recursos disponibles, no dudes en ponerte en contacto con el equipo de Soporte de M2E TikTok Shop Connect haciendo clic en Contáctanos. Si tu plan de suscripción no incluye un sistema de tickets, recibirás un correo electrónico con los términos del plan en respuesta a tu solicitud.</p>"
"All","Todos"
"The Log includes information about synchronization of M2E TikTok Shop Connect Listings, Orders, Shops, Unmanaged Listings.","El Log incluye información sobre la sincronización de los Listados, Pedidos, Tiendas y Listados no gestionados de M2E TikTok Shop Connect."
"Fatal Error","Error fatal"
"Task","Tarea"
"Detailed","Detallado"
"Are you sure ?","¿Está seguro?"
"<p>In case you confirm the Module disabling, the M2E TikTok Shop Connect dynamic tasks run by Cron will be stopped and the M2E TikTok Shop Connect Interface will be blocked.</p><p><b>Note</b>: You can re-enable it anytime you would like by clicking on the <strong>Proceed</strong> button for <strong>Enable Module and Automatic Synchronization</strong> option.</p>","<p>En caso de que confirmes la desactivación del Módulo, las tareas dinámicas de M2E TikTok Shop Connect ejecutadas por Cron se detendrán y la Interfaz de M2E TikTok Shop Connect se bloqueará.</p><p><b>Nota</b>: Puedes volver a habilitarlo en cualquier momento que desees haciendo clic en el botón <strong>Continuar</strong> para la opción <strong>Habilitar Módulo y Sincronización Automática</strong>.</p>"
"<p>Here you can provide global settings for the Module Interface, Inventory, Price. Recommendations for the tracking direct database changes can also be found below. Read the <a href=""%url"" target=""_blank"">article</a> for more details.</p><br><p>Click <strong>Save Config</strong> if you make any changes.</p>","<p>Aquí puedes proporcionar configuraciones globales para la Interfaz del Módulo, Inventario y Precio. Las recomendaciones para el seguimiento de los cambios directos en la base de datos también se pueden encontrar a continuación. Lee el <a href=""%url"" target=""_blank"">artículo</a> para más detalles.</p><br><p>Haz clic en <strong>Guardar Configuración</strong> si realizas algún cambio.</p>"
"Products Thumbnail","Miniatura de productos"
"Do Not Show","No mostrar"
"Show","Mostrar"
"Choose whether you want to see Thumbnail Images for Products on the Add Products and View Listing Pages.","Elija si desea ver imágenes en miniatura de los productos en la página de añadir productos y ver las páginas de la lista."
"Help Information","Información de ayuda"
"<p>Choose whether you want the help information to be available at the top of each M2E TikTok Shop Connect Page.</p><br><p><strong>Please note</strong>, it does not disable the help-tips (the icons with the additional information next to the main options).</p>","<p>Elige si deseas que la información de ayuda esté disponible en la parte superior de cada página de M2E TikTok Shop Connect.</p><br><p><strong>Por favor, ten en cuenta</strong> que esto no desactiva los consejos de ayuda (los íconos con información adicional junto a las opciones principales).</p>"
"Restore All Helps & Remembered Choices","Restaurar todas las ayudas y opciones recordadas"
"Quantity & Price","Cantidad & Precio"
"Manage Stock ""No"", Backorders","Gestionar stock ""Sin"", Atrasos"
"Disallow","No permitido"
"Allow","Permitir"
"Choose whether M2E TikTok Shop Connect is allowed to List Products with unlimited stock or that are temporarily out of stock.<br><b>Disallow</b> is the recommended setting for TikTok Shop Integration.","Elige si se permite que M2E TikTok Shop Connect liste productos con stock ilimitado o que están temporalmente fuera de stock.<br><b>No permitir</b> es la configuración recomendada para la integración con TikTok Shop."
"Quantity To Be Listed","Cantidad a ser listada"
"Set a number to List, e.g. if you have Manage Stock ""No"" in Magento Product and set this Value to 10, 10 will be sent as available Quantity to the Channel.","Establezca un número en Lista, por ejemplo, si tiene Gestionar existencias «No» en Producto Magento y establece este Valor en 10, se enviará 10 como Cantidad disponible al Canal."
"Convert Magento Price Attribute","Convertir Atributo Precio Magento"
"<p>Choose whether Magento Price Attribute values should be converted automatically. With this option enabled, M2E TikTok Shop Connect will provide currency conversion based on Magento Currency Settings.</p><p><strong>For example</strong>, the Item Price is set to be taken from Magento Price Attribute (e.g. 5 USD).<br>If this Item is listed on Shop with a different Base Currency (e.g. GBP), the currency conversion is performed automatically based on the set exchange rate (e.g. 1 USD = 0.82 GBP).<br>The Item will be available on Channel at the Price of 4.1 GBP.</p>","<p>Elige si los valores de los atributos de precio de Magento deben convertirse automáticamente. Con esta opción habilitada, M2E TikTok Shop Connect proporcionará conversión de divisas según la configuración de divisas de Magento.</p><p><strong>Por ejemplo</strong>, el precio del artículo se establece para ser tomado del atributo de precio de Magento (por ejemplo, 5 USD).<br>Si este artículo se lista en la tienda con una divisa base diferente (por ejemplo, GBP), la conversión de divisas se realiza automáticamente según el tipo de cambio establecido (por ejemplo, 1 USD = 0.82 GBP).<br>El artículo estará disponible en el canal al precio de 4.1 GBP.</p>"
"Help Blocks have been restored.","Se han restaurado los bloques de ayuda."
